Catalog,Dabow,Olé,"['dubstep', 'electronic', 'powerful']",141,ipfs://bafybeibtrqskzzrhrvpdnl3sykhorqk6tc6jihcc7ejrmtsuvq5kid6gca,1,Dabow - Olé,00:00
Catalog,XEDRA,INFOMASOCHIST,"['techno', 'electronic', 'energetic']",146,ipfs://bafybeiecowj5kmbnpxkalqhfq32yrnqbvxgfu65hbi3vdselgq5aeo5dy4,2,XEDRA - INFOMASOCHIST,01:08
Catalog,JediP,*sunset,"['downtempo', 'electronic', 'relaxed']",74,ipfs://bafybeigyjt67brjtg5p6l5hytyyovlsb2vt7qf43iz7kgfefgdjrqw5fp4,3,JediP - *sunset,03:49
,Jadyn Violet,We were younger yesterday,,,,4,Jadyn Violet - We were younger yesterday,05:30
Catalog,p3t3rango,IOI ft. Alan Zavodsky,"['electronic', '@jameecornelia 5-7-22', 'relaxed']",150,ipfs://bafybeiagfvpvszslucozqzpp3rrrjfenw5woef3fyodarnoiduscnlimge,5,p3t3rango - IOI ft. Alan Zavodsky,06:30
Catalog,HOUNDTRACK,Havoc,"['electronic', 'powerful']",162,ipfs://QmQDUavY8uSX6roCV5xe3wXibJafbhtAQWrWSuR6nb2NJo,6,HOUNDTRACK - Havoc,08:22
Catalog,Pozibelle,Walk On By,"['electronic', 'drum & bass']",82,ipfs://QmcVVnCMUmNCpzKajBduoMNkhyYE7dDx6dmE74DxAB3rY9,7,Pozibelle - Walk On By,10:10
Catalog,Subp Yao,Depth,"['electronic', '@jameecornelia 5-7-22']",161,ipfs://bafybeiehskjezffngtkixf6iyhrtcljdh6fatv4sldgghgg5pqefwa3jmq,8,Subp Yao - Depth,11:03
,Jamee Cornelia,Neon Nights ft Jadyn Violet,,,,9,Jamee Cornelia - Neon Nights ft Jadyn Violet,13:06
Catalog,cumulus frisbee,Hyperplex,"['electronic', 'powerful']",87,ipfs://QmRPhY7PxeADdVSoQkNzxoNrV37KZURhAX8V8PkVZVGJht,10,cumulus frisbee - Hyperplex,15:52
Catalog,Dutchyyy,Yawn of the Gemini,"['hip hop', 'downtempo', 'electronic', 'relaxed']",90,ipfs://bafybeiehde4po4gjinb5jjiknooyztiicmhgvvpkcpm2o2ekiyyrovu7xq,11,Dutchyyy - Yawn of the Gemini,20:35
Catalog,dot,Super Moon,"['electronic', 'energetic']",93,ipfs://bafybeiev4dtew5s6wwalfnhzhtta465owhbrmjrmuxa5ybihkhj4k6e4wi,12,dot - Super Moon,22:40
Catalog,IAMNOBODI,Play Your Cards Right,['electronic'],109,ipfs://bafybeidkvnwep5aw2mqpglmxzxg3fwrhjldtndtn3evladbooif2x3yqoq,13,IAMNOBODI - Play Your Cards Right,23:40
Catalog,maddeof,One Time,"['house', 'electronic']",121,ipfs://bafybeiaa2tp4rq5w3jyr7zaebp5ijvk6lq3m6qczylrcgkpz3lczn4ukii,14,maddeof - One Time,26:13
Catalog,malfnktion,violet22,"['house', 'electronic', 'energetic']",121,ipfs://bafybeidiimes3vasl7bkgsks5bcdfjeetqkffiirmhhrhvicnzbaiggj4m,15,malfnktion - violet22,27:33
Catalog,MELVV,Want It,"['electronic', 'energetic']",125,ipfs://QmRGj5P8dU7dWjtvfwscqgVc7ufruKZkvybM1y6JW7Fo53,16,MELVV - Want It,30:28
Catalog,TWERL,dream,"['electronic', 'quirky']",130,ipfs://bafybeiag2qfnttnpjeknl2utwnzzjt4yfhmi6u3joo4z44qhjvczibmsl4,17,TWERL - dream,32:50
,Shark Anthony,Is it true,,,,18,Shark Anthony - Is it true,34:45
platform,artist,songTitle,tags,bpm,losslessAudio,Track #,,
Catalog,Pozibelle,Chaos & Night,"['electronic', 'drum & bass']",93,ipfs://bafybeicivf4jnsgr4y7mdj2ibij4bpd7jdfbkoaohanonn54mgu367jtpq,,Pozibelle - Chaos & Night,21:20